date,open,high,low,close,volume,amount,outstanding_share,turnover
2016-12-26,22.61,23.58,22.36,23.34,6117320.0,141233927.0,99700000.0,0.06135727181544634
2016-12-27,23.22,23.47,22.91,22.94,4673131.0,108060711.0,99700000.0,0.046871925777332
2016-12-28,22.96,23.13,22.38,22.39,4834540.0,109482085.0,99700000.0,0.04849087261785356
2016-12-29,22.39,22.65,22.15,22.18,3890394.0,87296913.0,99700000.0,0.03902100300902708
2016-12-30,22.3,22.44,20.6,21.05,8229712.0,174646292.0,99700000.0,0.08254475426278836
2017-01-03,21.05,21.48,20.8,21.18,4941088.0,104164093.0,99700000.0,0.049559558676028084
2017-01-04,21.16,21.35,20.91,21.27,4830636.0,102273432.0,99700000.0,0.04845171514543631
2017-01-05,21.21,21.39,20.8,20.82,5585343.0,117407420.0,99700000.0,0.056021494483450354
2017-01-06,20.8,20.8,19.4,19.52,8902113.0,177656370.0,99700000.0,0.08928899699097292
2017-01-09,19.6,19.64,18.61,19.15,6637709.0,126461472.0,99700000.0,0.06657682046138415
2017-01-10,19.1,19.96,19.01,19.38,7999803.0,157070206.0,99700000.0,0.08023874623871614
2017-01-11,19.25,19.51,18.8,18.92,4991273.0,95242695.0,99700000.0,0.05006291875626881
2017-01-12,18.93,19.25,18.52,18.63,4555840.0,85824675.0,99700000.0,0.04569548645937813
2017-01-13,18.76,18.98,17.92,18.0,5247778.0,95767170.0,99700000.0,0.05263568706118355
2017-01-16,17.79,18.17,16.2,16.61,7581349.0,128711315.0,99700000.0,0.0760416148445336
2017-01-17,16.56,17.88,15.55,17.39,10426371.0,175134228.0,99700000.0,0.10457744232698095
2017-01-18,17.28,17.28,16.61,16.7,5770466.0,97428211.0,99700000.0,0.057878294884653965
2017-01-19,16.6,17.49,16.5,16.94,7733976.0,132335272.0,99700000.0,0.0775724774322969
2017-01-20,16.74,17.45,16.51,17.17,6191505.0,106280750.0,99700000.0,0.06210135406218656
2017-01-23,17.39,17.5,17.21,17.36,4520992.0,78576314.0,99700000.0,0.04534595787362086
2017-01-24,17.44,17.56,17.13,17.18,3859668.0,66750980.0,99700000.0,0.038712818455366095
2017-01-25,17.29,17.47,17.1,17.44,3859984.0,66973472.0,99700000.0,0.038715987963891675
2017-01-26,17.6,17.69,17.31,17.41,3178584.0,55450953.0,99700000.0,0.03188148445336008
2017-02-03,17.45,17.55,17.2,17.39,2633234.0,45780673.0,99700000.0,0.026411574724172517
2017-02-06,17.41,18.33,17.41,18.23,7702698.0,137942060.0,99700000.0,0.07725875626880642
2017-02-07,18.23,18.24,17.82,18.11,6906900.0,124425309.0,99700000.0,0.06927683049147443
2017-02-08,18.1,18.48,17.88,18.33,6636986.0,121436529.0,99700000.0,0.06656956870611835
