代码,名称,上市日期,退市日期,证券类型,上市状态,所属板块,流通市值,总市值,动态市盈率
600143,金发科技,2004-06-23,,1,1,沪市主板,55120560506.0,55120560506.0,0.0
600145,退市新亿,1999-09-23,2022-04-28,1,0,沪市主板,0.0,0.0,0.0
600146,退市环球,1999-07-07,2022-06-30,1,0,沪市主板,0.0,0.0,0.0
600148,长春一东,1998-05-20,,1,1,沪市主板,2860047455.0,2860047455.0,0.0
600149,廊坊发展,1999-10-14,,1,1,沪市主板,1976832000.0,1976832000.0,0.0
600150,中国船舶,1998-05-20,,1,1,沪市主板,269191473472.0,269191473472.0,0.0
600151,航天机电,1998-06-05,,1,1,沪市主板,29717707387.0,29717707387.0,0.0
600152,维科技术,1998-06-09,,1,1,沪市主板,3994549281.0,3994549281.0,0.0
600153,建发股份,1998-06-16,,1,1,沪市主板,27342648536.0,27342648536.0,0.0
600155,华创云信,1998-09-18,,1,1,沪市主板,15229172242.0,15229172242.0,0.0
600156,华升股份,1998-05-27,,1,1,沪市主板,3297307756.0,3297307756.0,0.0
600157,永泰能源,1998-05-13,,1,1,沪市主板,36435666122.0,36435666122.0,0.0
600158,中体产业,1998-03-27,,1,1,沪市主板,8539666296.0,8539666296.0,0.0
600159,大龙地产,1998-05-26,,1,1,沪市主板,2348909147.0,2348909147.0,0.0
600160,巨化股份,1998-06-26,,1,1,沪市主板,102077399323.0,102077399323.0,0.0
600161,天坛生物,1998-06-16,,1,1,沪市主板,33714183154.0,33714183154.0,0.0
600162,香江控股,1998-06-09,,1,1,沪市主板,6210032432.0,6210032432.0,0.0
600163,中闽能源,1998-06-02,,1,1,沪市主板,10523568671.0,10523568671.0,0.0
600165,*ST宁科,1998-05-29,,1,1,沪市主板,2968300266.0,6544329289.0,0.0
600166,福田汽车,1998-06-02,,1,1,沪市主板,23039635068.0,23039635068.0,0.0
600167,联美控股,1999-01-28,,1,1,沪市主板,16654505808.0,16654505808.0,0.0
600168,武汉控股,1998-04-27,,1,1,沪市主板,5135865432.0,5135865432.0,0.0
600169,ST太重,1998-09-04,,1,1,沪市主板,8166196675.0,8200402767.0,0.0
600170,上海建工,1998-06-23,,1,1,沪市主板,24169756104.0,24169756104.0,0.0
