code,name,section,next_crawl_index,market_cap
000917,电广传媒,深市主板,0,1146724.6247
000919,金陵药业,深市主板,0,404369.3281
000920,沃顿科技,深市主板,0,529159.785
000921,海信家电,深市主板,0,2493620.6095
000922,佳电股份,深市主板,0,702400.0396
000923,河钢资源,深市主板,0,992084.1393
000925,众合科技,深市主板,0,539268.6907
000926,福星股份,深市主板,0,409034.3777
000927,中国铁物,深市主板,0,1597292.5534
000928,中钢国际,深市主板,0,883730.2757
000930,中粮科技,深市主板,0,1097101.7153
000931,中 关 村,深市主板,0,395792.5634
000932,华菱钢铁,深市主板,0,4511280.9187
000933,神火股份,深市主板,0,4351460.9493
000935,四川双马,深市主板,0,1643687.0369
000936,华西股份,深市主板,0,683905.0242
000937,冀中能源,深市主板,0,2025704.3639
000938,紫光股份,深市主板,0,8560219.0629
000948,南天信息,深市主板,0,712883.0291
000949,新乡化纤,深市主板,0,754743.9121
000950,重药控股,深市主板,0,874461.4562
000951,中国重汽,深市主板,0,1996103.0426
000952,广济药业,深市主板,0,214997.5219
000953,河化股份,深市主板,0,264706.347
000955,欣龙控股,深市主板,0,282984.3049
000957,中通客车,深市主板,0,652787.2335
000958,电投产融,深市主板,0,3509977.8725
000959,首钢股份,深市主板,0,2615919.9861
000960,锡业股份,深市主板,0,3359081.784
000962,东方钽业,深市主板,0,1227979.2828
000963,华东医药,深市主板,0,7310829.8794
000965,天保基建,深市主板,0,457250.3287
000966,长源电力,深市主板,0,1418762.4267
000967,盈峰环境,深市主板,0,2203143.1901
000968,蓝焰控股,深市主板,0,666609.3327
000969,安泰科技,深市主板,0,1370014.52
000970,中科三环,深市主板,0,1682564.4698
000973,佛塑科技,深市主板,0,698479.5295
000975,山金国际,深市主板,0,5322772.7207
000977,浪潮信息,深市主板,0,10586059.4609
000978,桂林旅游,深市主板,0,302872.8313
000980,众泰汽车,深市主板,0,1635201.3187
000981,山子高科,深市主板,0,3329674.6326
000983,山西焦煤,深市主板,0,3308472.2462
000985,大庆华科,深市主板,0,234647.495
000987,越秀资本,深市主板,0,3871136.2343
000988,华工科技,深市主板,0,9265967.7575
000989,九芝堂,深市主板,0,696930.368
000990,诚志股份,深市主板,0,879831.3237
000993,闽东电力,深市主板,0,432711.6108
000995,皇台酒业,深市主板,0,250677.504
000997,新 大 陆,深市主板,0,2822845.1456
000998,隆平高科,深市主板,0,1276914.0802
000999,华润三九,深市主板,0,4720388.2745
001201,东瑞股份,深市主板,0,327453.0574
001202,炬申股份,深市主板,0,183647.2573
001203,大中矿业,深市主板,0,1531547.1733
001205,盛航股份,深市主板,0,256505.2402
001206,依依股份,深市主板,0,307570.6287
001207,联科科技,深市主板,0,445807.9593
001208,华菱线缆,深市主板,0,328456.9905
001209,洪兴股份,深市主板,0,194111.1647
001210,金房能源,深市主板,0,158482.3068
001211,双枪科技,深市主板,0,174459.0813
001212,中旗新材,深市主板,0,952391.7397
001213,中铁特货,深市主板,0,1848888.8887
001215,千味央厨,深市主板,0,382292.5064
001216,华瓷股份,深市主板,0,378876.8815
001217,华尔泰,深市主板,0,383784.9697
001218,丽臣实业,深市主板,0,185163.9898
001219,青岛食品,深市主板,0,262147.9712
001221,悍高集团,深市主板,0,221561.9542
001222,源飞宠物,深市主板,0,251661.3957
001223,欧克科技,深市主板,0,118791.624
001225,和泰机电,深市主板,0,93201.7644
001226,拓山重工,深市主板,0,143747.4279
001227,兰州银行,深市主板,0,1002491.7643
001228,永泰运,深市主板,0,193671.6768
001229,魅视科技,深市主板,0,165413.4133
001230,劲旅环境,深市主板,0,127785.6382
001231,农心科技,深市主板,0,100758.195
001234,泰慕士,深市主板,0,265226.409
001236,弘业期货,深市主板,0,831611.3225
001238,浙江正特,深市主板,0,519372.1409
001239,永达股份,深市主板,0,189810.0
001255,博菲电气,深市主板,0,59193.64
001256,炜冈科技,深市主板,0,91875.8227
001258,立新能源,深市主板,0,646798.4412
001259,利仁科技,深市主板,0,122379.5404
001260,坤泰股份,深市主板,0,62261.75
001266,宏英智能,深市主板,0,164116.5619
001267,汇绿生态,深市主板,0,1019274.5417
001268,联合精密,深市主板,0,198617.6021
001269,欧晶科技,深市主板,0,220674.4579
001277,速达股份,深市主板,0,175177.6891
001278,一彬科技,深市主板,0,91416.9123
001279,强邦新材,深市主板,0,144400.7853
001282,三联锻造,深市主板,0,169148.6272
001283,豪鹏科技,深市主板,0,612184.8384
001286,陕西能源,深市主板,0,941850.0
001287,中电港,深市主板,0,932962.4642
001288,运机集团,深市主板,0,394542.7372
001289,龙源电力,深市主板,0,8772965.4454
001296,长江材料,深市主板,0,173760.8775
001298,好上好,深市主板,0,513102.5572
001299,美能能源,深市主板,0,78516.0864
001300,三柏硕,深市主板,0,96150.1143
001301,尚太科技,深市主板,0,1134856.4758
001306,夏厦精密,深市主板,0,158565.0
001308,康冠科技,深市主板,0,570082.0157
001309,德明利,深市主板,0,2752924.0426
001311,多利科技,深市主板,0,210126.3729
001313,粤海饲料,深市主板,0,498476.7318
001314,亿道信息,深市主板,0,263900.3345
001316,润贝航科,深市主板,0,357643.7655
001317,三羊马,深市主板,0,143365.8297
001318,阳光乳业,深市主板,0,395441.34
001319,铭科精技,深市主板,0,223778.2047
001322,箭牌家居,深市主板,0,132655.8528
001323,慕思股份,深市主板,0,245764.174
001324,长青科技,深市主板,0,159632.788
001326,联域股份,深市主板,0,112514.3398
001328,登康口腔,深市主板,0,169074.868
001330,博纳影业,深市主板,0,684042.6405
001331,胜通能源,深市主板,0,233682.9452
001332,锡装股份,深市主板,0,295029.0
001333,光华股份,深市主板,0,104808.0
001335,信凯科技,深市主板,0,87560.2869
001336,楚环科技,深市主板,0,104579.1942
001337,四川黄金,深市主板,0,777677.376
001338,永顺泰,深市主板,0,269460.0173
001339,智微智能,深市主板,0,725870.0447
001356,富岭股份,深市主板,0,187344.828
001358,兴欣新材,深市主板,0,164143.7118
001359,平安电工,深市主板,0,233523.3
001360,南矿集团,深市主板,0,131176.9582
001366,播恩集团,深市主板,0,68931.84
001367,海森药业,深市主板,0,90540.1475
001368,通达创智,深市主板,0,77584.1874
001373,翔腾新材,深市主板,0,99825.9085
001376,百通能源,深市主板,0,268046.0275
001378,德冠新材,深市主板,0,146708.8109
001379,腾达科技,深市主板,0,138299.445
001380,华纬科技,深市主板,0,243242.6497
001382,新亚电缆,深市主板,0,129022.0
001387,雪祺电气,深市主板,0,152639.8462
001388,信通电子,深市主板,0,144731.1097
001389,广合科技,深市主板,0,1176695.9706
001390,古麒绒材,深市主板,0,119802.1809
001391,国货航,深市主板,0,564208.7758
001395,亚联机械,深市主板,0,97983.9857
001400,江顺科技,深市主板,0,107130.0
001696,宗申动力,深市主板,0,2224038.5714
001872,招商港口,深市主板,0,3540524.4771
001896,豫能控股,深市主板,0,788828.9476
001914,招商积余,深市主板,0,1284073.7503
001965,招商公路,深市主板,0,6738493.3453
001979,招商蛇口,深市主板,0,8416125.9498
002001,新 和 成,深市主板,0,7188252.1836
002003,伟星股份,深市主板,0,1017630.651
002004,华邦健康,深市主板,0,837320.6459
002006,精工科技,深市主板,0,1140946.6008
002007,华兰生物,深市主板,0,2525793.1208
002008,大族激光,深市主板,0,3904390.7297
002009,天奇股份,深市主板,0,589259.9548
002010,传化智联,深市主板,0,1713083.4373
002011,盾安环境,深市主板,0,1285300.8479
002012,凯恩股份,深市主板,0,259069.212
002014,永新股份,深市主板,0,689753.994
002015,协鑫能科,深市主板,0,1970716.0814
002016,世荣兆业,深市主板,0,475748.2316
002017,东信和平,深市主板,0,1342898.8168
002019,亿帆医药,深市主板,0,1157026.86
002020,京新药业,深市主板,0,1446488.7333
002021,中捷资源,深市主板,0,347872.4263
002022,科华生物,深市主板,0,326031.5418
