ETF代码,ETF名称,完整代码,基金规模,成立日期,跟踪指数,基金公司
159362,A500ETF工银,,14.2487486,,,
515010,券商ETF基金,,14.20966073,,,
520500,恒生创新药ETF,,14.19373871,,,
159840,锂电池ETF,,14.04487172,,,
159559,机器人50ETF,,13.95192764,,,
159273,云计算ETF汇添富,,13.90887457,,,
512080,A500ETF中金,,13.67936291,,,
561910,电池ETF,,13.66339489,,,
159994,5GETF,,13.50110449,,,
512720,计算机ETF,,13.47258674,,,
159830,上海金ETF,,13.42961513,,,
516640,芯片龙头ETF,,13.33591486,,,
159996,家电ETF,,13.23360865,,,
159101,港股通科技ETF基金,,13.0875503,,,
159997,电子ETF,,12.97770843,,,
512580,环保ETF,,12.93173511,,,
159837,生物科技ETF,,12.70133433,,,
588120,科创板100ETF,,12.67084784,,,
561300,300增强ETF,,12.57327457,,,
513290,纳指生物科技ETF,,12.5442726,,,
159307,红利低波100ETF,,12.53610029,,,
513000,日经225ETF易方达,,12.51170962,,,
159980,有色ETF,,12.34320381,,,
560170,央企科技ETF,,12.27195756,,,
561550,500增强ETF,,11.72346082,,,
159259,成长ETF,,11.70952438,,,
563990,800现金流ETF,,11.58684645,,,
159227,航空航天ETF,,11.58154231,,,
520880,港股通创新药ETF,,11.56119138,,,
159887,银行ETF,,11.42526774,,,
512820,银行ETF龙头,,11.41016799,,,
588330,双创龙头ETF,,11.35144704,,,
562950,消费电子ETF易方达,,11.1920171,,,
511850,财富宝ETF,,11.14585155,,,
159847,医疗ETF易方达,,11.10483158,,,
517380,创新药ETF天弘,,11.06291074,,,
520840,港股通恒生科技ETF,,11.0567693,,,
561230,中证A50ETF基金,,11.05127704,,,
588230,科创200ETF,,10.9416099,,,
159246,创业板人工智能ETF富国,,10.86646917,,,
520550,港股红利低波ETF,,10.84888224,,,
562310,沪深300成长ETF,,10.83977941,,,
515710,食品ETF,,10.76811478,,,
159518,标普油气ETF,,10.63942068,,,
159652,有色50ETF,,10.62378595,,,
159806,新能源车ETF,,10.62129957,,,
159688,恒生互联网ETF,,10.57236632,,,
159699,恒生消费ETF,,10.5705916,,,
159638,高端装备ETF,,10.56567252,,,
561100,消费电子ETF富国,,10.47223992,,,
517900,银行AH优选ETF,,10.4643812,,,
159583,通信设备ETF,,10.42355109,,,
159745,建材ETF,,10.422153,,,
159607,中概互联网ETF,,10.37658291,,,
159310,芯片ETF天弘,,10.35966904,,,
516020,化工ETF,,10.3194165,,,
513700,香港医药ETF,,10.24772652,,,
511700,场内货币ETF,,10.0945112,,,
562990,碳中和ETF易方达,,10.042865,,,
159875,新能源ETF,,10.03938244,,,
159378,通用航空ETF,,9.9927622,,,
516350,芯片ETF易方达,,9.93386542,,,
159981,能源化工ETF,,9.84667289,,,
159807,科技ETF,,9.83828809,,,
560770,机器人指数ETF,,9.77676358,,,
159235,中证现金流ETF,,9.74669878,,,
512810,国防军工ETF,,9.71220948,,,
159812,黄金基金ETF,,9.5234745,,,
159258,机器人ETF南方,,9.48188151,,,
512510,中证500ETF华泰柏瑞,,9.4696488,,,
561980,半导体设备ETF,,9.3825828,,,
516100,金融科技ETF华夏,,9.38174831,,,
562510,旅游ETF,,9.33365166,,,
159628,国证2000ETF,,9.29822095,,,
563520,沪深300ETF永赢,,9.23592159,,,
562000,中证A100ETF基金,,9.18001301,,,
159637,新能源车龙头ETF,,9.09288391,,,
159834,金ETF,,9.06622873,,,
513080,法国CAC40ETF,,9.0498762,,,
159750,港股科技50ETF,,9.01750007,,,
159337,中证500ETF基金,,9.00132517,,,
560150,红利低波ETF泰康,,8.89194128,,,
159529,标普消费ETF,,8.81647601,,,
511690,交易货币ETF,,8.81194058,,,
520700,港股创新药ETF基金,,8.76645132,,,
159647,中药ETF,,8.7559811,,,
159269,港股通科技ETF南方,,8.69275701,,,
159758,红利质量ETF,,8.62003068,,,
563700,红利价值ETF,,8.597424,,,
563320,通用航空ETF,,8.57548908,,,
159599,芯片ETF基金,,8.416079,,,
159850,恒生国企ETF,,8.40572911,,,
159602,中国A50ETF,,8.34151054,,,
561160,锂电池ETF,,8.2430476,,,
159751,港股科技ETF,,8.23169558,,,
159741,恒生科技ETF嘉实,,8.22729573,,,
159221,现金流ETF嘉实,,8.2092786,,,
515250,智能汽车ETF,,8.20199778,,,
159782,双创50ETF,,8.20196509,,,
159735,港股消费ETF,,7.97893749,,,
159667,工业母机ETF,,7.94764476,,,
588990,科创芯片ETF博时,,7.87510924,,,
159715,稀土ETF易方达,,7.75688209,,,
563680,800自由现金流ETF,,7.75432458,,,
159591,中证A50ETF,,7.72261157,,,
159202,恒生互联网科技ETF,,7.70636544,,,
588830,科创新能源ETF,,7.69887693,,,
159612,标普500ETF,,7.69643405,,,
513800,日本东证指数ETF,,7.69006685,,,
159552,中证2000增强ETF,,7.68430447,,,
159940,金融地产ETF,,7.67994899,,,
159680,1000ETF增强,,7.65849264,,,
159562,黄金股ETF,,7.61345712,,,
520860,港股通科技ETF富国,,7.60481373,,,
563580,自由现金流ETF800,,7.57124736,,,
159864,光伏50ETF,,7.55695177,,,
563500,中证A500ETF华宝,,7.54531422,,,
159572,创业板200ETF易方达,,7.52606523,,,
588460,科创50增强ETF,,7.52345062,,,
515150,一带一路ETF,,7.3939932,,,
589880,科创综指ETF建信,,7.3749528,,,
589900,科创综指ETF博时,,7.3708042,,,
159866,日经ETF,,7.35008189,,,
159531,中证2000ETF,,7.31799011,,,
515060,房地产ETF基金,,7.28644101,,,
560800,数字经济ETF,,7.16143896,,,
516090,新能源ETF易方达,,7.15849229,,,
513070,港股消费ETF易方达,,7.11267166,,,
516670,畜牧养殖ETF,,7.05595478,,,
159232,现金流ETF南方,,7.04363461,,,
159768,房地产ETF,,7.03042524,,,
513310,中韩半导体ETF,,6.96485717,,,
159206,卫星ETF,,6.93709442,,,
159639,碳中和ETF南方,,6.93493033,,,
159336,央企红利50ETF,,6.92895597,,,
515750,科技50ETF,,6.91983893,,,
588690,科创指数增强ETF,,6.79138564,,,
512560,军工ETF易方达,,6.6581043,,,
563390,现金流ETF全指,,6.63913536,,,
159205,创业板ETF东财,,6.59488294,,,
588020,科创成长50ETF,,6.56124716,,,
159748,创新药ETF富国,,6.52735228,,,
159596,A50ETF华宝,,6.51873387,,,
159286,港股创新药ETF鹏华,,6.50221198,,,
159831,上海金ETF嘉实,,6.48432958,,,
159577,美国50ETF,,6.47312146,,,
588900,科创100ETF南方,,6.46291713,,,
589600,科创综指ETF富国,,6.37184889,,,
513890,恒生科技HKETF,,6.3461028,,,
159330,沪深300ETF基金,,6.31102943,,,
159692,证券ETF东财,,6.24860116,,,
516630,云计算50ETF,,6.24156356,,,
159586,计算机ETF南方,,6.20427881,,,
513560,香港科技ETF,,6.1688198,,,
512600,消费ETF嘉实,,6.13890438,,,
588780,科创芯片设计ETF,,6.10062449,,,
516920,芯片50ETF,,6.07834669,,,
516110,汽车ETF,,6.05768577,,,
561190,双碳ETF,,6.04718568,,,
513350,标普油气ETF,,6.04580922,,,
562570,信创ETF,,6.01321543,,,
589520,科创人工智能ETF华宝,,6.00889685,,,
560700,央企红利50ETF,,5.98906229,,,
562970,光伏ETF易方达,,5.98454424,,,
159814,创业大盘ETF,,5.93541754,,,
561560,电力ETF,,5.91735037,,,
510320,沪深300ETF中金,,5.9093014,,,
515020,银行ETF基金,,5.881379,,,
159909,TMT50ETF,,5.87297978,,,
159526,机器人ETF嘉实,,5.86379848,,,
516080,创新药ETF易方达,,5.85445655,,,
159622,创新药ETF沪港深,,5.85285437,,,
589890,科创综指ETF景顺,,5.81114747,,,
510390,沪深300ETF平安,,5.810498,,,
512330,信息科技ETF,,5.80679736,,,
515950,医药龙头ETF,,5.7159503,,,
159381,创业板人工智能ETF华夏,,5.71529146,,,
510710,上证50ETF博时,,5.70053112,,,
159608,稀有金属ETF,,5.63598683,,,
159333,港股央企红利ETF,,5.62925106,,,
159867,畜牧ETF,,5.62233053,,,
589630,科创综指ETF国泰,,5.61417552,,,
589660,科创综指ETF南方,,5.6065952,,,
159839,生物药ETF,,5.57219949,,,
159964,创业板ETF平安,,5.5377488,,,
159960,恒生中国企业ETF,,5.51008477,,,
159968,中证500ETF博时,,5.47891167,,,
588810,科创芯片ETF富国,,5.47473204,,,
515390,沪深300ETF指数基金,,5.47265907,,,
563900,沪深300自由现金流ETF摩根,,5.472643,,,
516120,化工50ETF,,5.4274363,,,
563860,A500ETF海富通,,5.38488794,,,
588870,科创50指数ETF,,5.3619552,,,
561600,消费电子ETF,,5.33414988,,,
562880,电池ETF嘉实,,5.29769836,,,
159958,创业板ETF工银,,5.26136689,,,
510410,资源ETF,,5.24336825,,,
512220,TMTETF,,5.20957957,,,
510590,中证500ETF平安,,5.17678214,,,
159687,亚太精选ETF,,5.17624323,,,
159263,价值ETF,,5.15195433,,,
589090,科创人工智能ETF鹏华,,5.14236698,,,
563780,现金流全指ETF,,5.12118438,,,
159739,大数据ETF,,5.07698928,,,
588210,科创100ETF易方达,,5.04832578,,,
520600,港股汽车ETF,,5.04180096,,,
515890,红利ETF博时,,5.0389811,,,
560880,家电ETF龙头,,5.02513856,,,
159966,创业板价值ETF,,5.00698542,,,
159903,深成ETF,,4.99346824,,,
588170,科创半导体ETF,,4.98939528,,,
515160,MSCI中国ETF招商,,4.95780138,,,
560810,央企ESGETF,,4.93559248,,,
516460,现金流ETF800,,4.93026406,,,
516950,基建ETF,,4.9191835,,,
515580,科技100ETF,,4.90233764,,,
159373,创业板50ETF嘉实,,4.85743759,,,
513360,教育ETF,,4.83415508,,,
513280,恒生生物科技ETF,,4.81126707,,,
516000,数据ETF,,4.79404688,,,
159707,地产ETF,,4.78849757,,,
560500,500质量成长ETF,,4.78002231,,,
515260,电子ETF,,4.71824587,,,
516290,光伏龙头ETF,,4.69660764,,,
516050,科技龙头ETF,,4.69200848,,,
159843,食品饮料ETF,,4.66794948,,,
159747,香港科技ETF,,4.64813054,,,
511810,理财金货币ETF,,4.63942474,,,
561580,央企红利ETF,,4.62656053,,,
589850,科创50ETF东财,,4.62571414,,,
159738,云计算ETF华泰柏瑞,,4.60058916,,,
159961,深100ETF方正富邦,,4.60051473,,,
561990,沪深300增强ETF,,4.5756674,,,
588360,科创创业ETF,,4.56619382,,,
510630,消费30ETF,,4.5089502,,,
159671,稀有金属ETF基金,,4.48051744,,,
588940,科创50ETF富国,,4.4193468,,,
517110,创新药ETF国泰,,4.40577555,,,
588110,科创成长ETF,,4.39063284,,,
159222,自由现金流ETF易方达,,4.37749664,,,
159558,半导体设备ETF易方达,,4.37658363,,,
589770,科创综指ETF招商,,4.36017364,,,
159242,创业板人工智能ETF大成,,4.31969949,,,
510800,50ETF基金,,4.29285544,,,
562360,机器人ETF基金,,4.28755908,,,
159241,航空航天ETF天弘,,4.25248665,,,
159615,恒生生物科技ETF,,4.23563274,,,
520970,港股通创新药ETF嘉实,,4.23467246,,,
512090,MSCIA股ETF易方达,,4.1326614,,,
562870,证券ETF嘉实,,4.10952944,,,
159726,恒生红利ETF,,4.09485739,,,
588280,科创50ETF指数基金,,4.08890608,,,
159902,中小100ETF,,4.07353055,,,
520580,新兴亚洲ETF,,4.04993743,,,
159954,H股ETF,,4.04136451,,,
512120,医药50ETF,,3.99453371,,,
516650,有色金属ETF基金,,3.99288607,,,
515630,保险证券ETF,,3.97885217,,,
588920,科创芯片ETF指数,,3.97134066,,,
159822,新经济ETF,,3.96382382,,,
517050,互联网ETF华泰柏瑞,,3.95695667,,,
560550,碳中和ETF龙头,,3.95645719,,,
159890,云计算ETF,,3.95356618,,,
561870,自由现金流ETF全指,,3.90273989,,,
516520,智能驾驶ETF,,3.88194839,,,
589080,科创综指ETF汇添富,,3.86783928,,,
510530,中证500ETF工银,,3.86384545,,,
563350,中证A50ETF,,3.84744942,,,
516200,证券ETF指数基金,,3.83030364,,,
517180,中国国企ETF,,3.8120048,,,
159898,医疗器械指数ETF,,3.79722817,,,
159268,港股通消费50ETF,,3.79345335,,,
561930,沪深300ETF招商,,3.78783967,,,
510980,上证综合ETF,,3.75864188,,,
159551,机器人产业ETF,,3.75287714,,,
512650,长三角ETF,,3.73674146,,,
589860,科创综指ETF天弘,,3.73276752,,,
159500,500ETF,,3.72998837,,,
159610,500ETF增强,,3.70600458,,,
159278,机器人ETF鹏华,,3.67634415,,,
588240,科创200ETF指数,,3.66488223,,,
159547,红利低波ETF基金,,3.66276878,,,
159606,中证500成长ETF,,3.64226419,,,
159382,创业板人工智能ETF南方,,3.63252547,,,
517080,沪港深500ETF基金,,3.6010519,,,
159209,中证红利质量ETF,,3.59738087,,,
520690,港股创新药精选ETF,,3.56853982,,,
159213,机器人ETF基金,,3.55267054,,,
517390,云计算ETF沪港深,,3.52509543,,,
560070,央企红利ETF基金,,3.48660944,,,
513170,恒生央企ETF,,3.46885142,,,
562590,半导体材料ETF,,3.4323224,,,
159858,创新药ETF南方,,3.40241822,,,
159757,电池30ETF,,3.38798117,,,
159752,新能源龙头ETF,,3.38411785,,,
159281,港股通央企红利ETF天弘,,3.38204997,,,
159973,民企ETF,,3.37560202,,,
159665,半导体龙头ETF,,3.36353673,,,
517120,创新药ETF华泰柏瑞,,3.34593792,,,
159797,医疗器械ETF基金,,3.34545162,,,
517800,人工智能50ETF,,3.3381041,,,
516660,新能源车ETF基金,,3.32775442,,,
159292,创业板综增强ETF华宝,,3.2998385,,,
159899,软件龙头ETF,,3.29182577,,,
517000,沪港深500ETF,,3.28672597,,,
515810,中证800ETF,,3.27925382,,,
516390,新能源汽车ETF,,3.2783985,,,
159366,港股医疗ETF,,3.25464571,,,
513590,香港消费ETF,,3.23888389,,,
159380,A500ETF东财,,3.22027595,,,
159568,港股互联网ETF,,3.2017127,,,
159389,数字经济ETF嘉实,,3.17841103,,,
513230,港股消费ETF,,3.16504407,,,
515310,沪深300指数ETF,,3.16282282,,,
159609,光伏龙头ETF,,3.15267187,,,
159775,新能源车电池ETF,,3.13838113,,,
159569,港股红利低波ETF,,3.13163622,,,
515850,券商指数ETF,,3.09547394,,,
589720,科创创新药ETF国泰,,3.09530973,,,
