ETF代码,ETF名称,基金规模,next_crawl_index
563320,通用航空ETF,2.48790372,763
589860,科创综指ETF天弘,2.96137664,763
159939,信息技术ETF,11.77176058,763
159658,数字经济ETF,1.33652439,763
512330,信息科技ETF南方,6.55956504,763
515980,人工智能ETF,102.96340637,763
520850,港股通医疗ETF易方达,1.47963376,763
159732,消费电子ETF,25.04266225,763
589180,科创新材料ETF汇添富,0.22665394,763
512930,AI人工智能ETF,34.71946442,763
159533,中证2000ETF博时,0.17137498,763
159557,恒生医疗ETF嘉实,2.13696348,763
159941,纳指ETF,304.9659367,763
159996,家电ETF,15.37609215,763
159902,中小100ETF华夏,3.69343393,763
513650,标普500ETF南方,49.56607732,763
588680,科创100ETF增强指数基金,1.53333723,763
159791,300ESGETF华夏,0.30089599,763
562570,信创ETF,5.45331,763
159998,计算机ETF,28.59885084,763
589550,科创价值ETF华夏,0.45475833,763
512200,房地产ETF,74.13270577,763
513700,港股通医药ETF鹏华,8.43581128,763
513020,港股科技ETF,46.67894513,763
513150,港股通科技ETF华泰柏瑞,1.09956378,763
159659,纳斯达克100ETF,82.54203484,763
512220,TMTETF,5.68036606,763
159513,纳斯达克100ETF大成,60.45891303,763
516600,消费服务ETF工银,0.85759861,763
159366,港股医疗ETF永赢,4.12186273,763
159636,港股通科技30ETF工银,351.64010721,763
588910,科创价值ETF建信,2.15542963,763
520580,新兴亚洲ETF,2.67247192,763
563200,中证2000ETF富国,0.35385561,763
159286,港股通创新药ETF鹏华,5.7528103,763
159843,食品饮料ETF,4.26788005,763
513110,纳斯达克100ETF,42.89937032,763
560880,家电ETF广发,6.49883388,763
515000,科技ETF,32.10134992,763
589820,科创200ETF建信,2.73331929,763
513070,港股通消费ETF易方达,23.98072728,763
589070,科创芯片设计ETF天弘,6.14206543,763
560130,食品ETF鹏华,1.18219109,763
159555,中证2000增强ETF银华,0.66833466,763
589850,科创50ETF东财,5.2489121,763
562050,药ETF,1.12468,763
589220,科创200ETF国泰,6.00292816,763
159819,人工智能ETF易方达,258.73122595,763
516980,证券ETF先锋,0.52578688,763
516110,汽车ETF,5.83856768,763
588450,科创50增强ETF招商,1.12258965,763
159285,港股通消费ETF华安,3.21589388,763
560220,中证2000ETF广发,0.6663852,763
588010,科创新材料ETF博时,3.03937072,763
