代码,名称,所属板块,流通市值,总市值,数据状态,动态市盈率,filter,next_crawl_index,质押股数
600323,瀚蓝环境,沪市主板,23636913763.00,23636913763.00,基础数据已获取,0.00,False,0,0.00
600325,华发股份,沪市主板,11503995845.00,11503995845.00,基础数据已获取,0.00,False,0,0.00
600326,西藏天路,沪市主板,16254200566.00,16254200566.00,基础数据已获取,0.00,False,0,0.00
600327,大东方,沪市主板,4503527747.00,4503527747.00,基础数据已获取,0.00,False,0,0.00
600329,达仁堂,沪市主板,26018059653.00,35331929053.00,基础数据已获取,0.00,False,0,0.00
600332,白云山,沪市主板,35597158829.00,41165026829.00,基础数据已获取,0.00,False,0,0.00
600333,长春燃气,沪市主板,3794261161.00,3794261161.00,基础数据已获取,0.00,False,0,0.00
600335,国机汽车,沪市主板,10545310279.00,10545310279.00,基础数据已获取,0.00,False,0,0.00
600336,澳柯玛,沪市主板,7046470410.00,7046470410.00,基础数据已获取,0.00,False,0,0.00
600338,西藏珠峰,沪市主板,19180129325.00,19180129325.00,基础数据已获取,0.00,False,0,37.73
600339,中油工程,沪市主板,20601814168.00,20601814168.00,基础数据已获取,0.00,False,0,8.93
600343,航天动力,沪市主板,23026485036.00,23026485036.00,基础数据已获取,0.00,False,0,0.00
600345,长江通信,沪市主板,7267061852.00,11322176734.00,基础数据已获取,0.00,False,0,0.00
600354,敦煌种业,沪市主板,3599610186.00,3599610186.00,基础数据已获取,0.00,False,0,0.00
600356,恒丰纸业,沪市主板,2766252560.00,2766252560.00,基础数据已获取,0.00,False,0,0.00
600359,新农开发,沪市主板,2888052047.00,2888052047.00,基础数据已获取,0.00,False,0,0.00
600362,江西铜业,沪市主板,123705497812.00,206413299832.00,基础数据已获取,0.00,False,0,0.00
600366,宁波韵升,沪市主板,16397692481.00,16397692481.00,基础数据已获取,0.00,False,0,0.00
600367,红星发展,沪市主板,6500638545.00,6887432911.00,基础数据已获取,0.00,False,0,0.00
600368,五洲交通,沪市主板,6470808509.00,6470808509.00,基础数据已获取,0.00,False,0,0.00
600371,万向德农,沪市主板,2674162920.00,2674162920.00,基础数据已获取,0.00,False,0,0.00
600372,中航机载,沪市主板,79745016462.00,79745016462.00,基础数据已获取,0.00,False,0,0.00
600373,中文传媒,沪市主板,12921170115.00,13114374091.00,基础数据已获取,0.00,False,0,0.00
600375,汉马科技,沪市主板,9419696294.00,10323779603.00,基础数据已获取,0.00,False,0,0.00
600376,首开股份,沪市主板,15296821885.00,15296821885.00,基础数据已获取,0.00,False,0,0.00
600377,宁沪高速,沪市主板,44637628432.00,59143155650.00,基础数据已获取,0.00,False,0,0.00
600379,宝光股份,沪市主板,4368566692.00,4368566692.00,基础数据已获取,0.00,False,0,0.00
600383,金地集团,沪市主板,14627250773.00,14627250773.00,基础数据已获取,0.00,False,0,0.00
600386,北巴传媒,沪市主板,3757824000.00,3757824000.00,基础数据已获取,0.00,False,0,0.00
600390,五矿资本,沪市主板,27168315372.00,27168315372.00,基础数据已获取,0.00,False,0,9.61
600391,航发科技,沪市主板,17711440540.00,17711440540.00,基础数据已获取,0.00,False,0,0.00
600395,盘江股份,沪市主板,10368198238.00,10368198238.00,基础数据已获取,0.00,False,0,0.00
600396,华电辽能,沪市主板,4550664065.00,4550664065.00,基础数据已获取,0.00,False,0,0.00
600397,江钨装备,沪市主板,10543072743.00,10543072743.00,基础数据已获取,0.00,False,0,0.00
600406,国电南瑞,沪市主板,203567281645.00,204167241486.00,基础数据已获取,0.00,False,0,0.00
600409,三友化工,沪市主板,15234898926.00,15234898926.00,基础数据已获取,0.00,False,0,0.00
600415,小商品城,沪市主板,93659191580.00,93659191580.00,基础数据已获取,0.00,False,0,0.00
600418,江淮汽车,沪市主板,113481148740.00,113481148740.00,基础数据已获取,0.00,False,0,0.00
600419,天润乳业,沪市主板,3230841661.00,3230841661.00,基础数据已获取,0.00,False,0,0.00
600420,国药现代,沪市主板,14203018808.00,14203018808.00,基础数据已获取,0.00,False,0,0.00
600422,昆药集团,沪市主板,9636301387.00,9636301387.00,基础数据已获取,0.00,False,0,0.00
600426,华鲁恒升,沪市主板,80073068535.00,80215251524.00,基础数据已获取,0.00,False,0,0.00
600428,中远海特,沪市主板,18535264719.00,20798916594.00,基础数据已获取,0.00,False,0,0.00
600433,冠豪高新,沪市主板,6143480108.00,6143480108.00,基础数据已获取,0.00,False,0,0.00
600435,北方导航,沪市主板,27086327285.00,27086327285.00,基础数据已获取,0.00,False,0,0.00
600444,国机通用,沪市主板,2844978139.00,2844978139.00,基础数据已获取,0.00,False,0,0.00
600448,华纺股份,沪市主板,2122492261.00,2122492261.00,基础数据已获取,0.00,False,0,0.00
600449,宁夏建材,沪市主板,6412407773.00,6412407773.00,基础数据已获取,0.00,False,0,0.00
600452,涪陵电力,沪市主板,17301459024.00,17301459024.00,基础数据已获取,0.00,False,0,0.00
600455,博通股份,沪市主板,1790670860.00,1790670860.00,基础数据已获取,0.00,False,0,0.00
600456,宝钛股份,沪市主板,19665323505.00,19665323505.00,基础数据已获取,0.00,False,0,0.00
600458,时代新材,沪市主板,12941424994.00,13970610335.00,基础数据已获取,0.00,False,0,0.00
600459,贵研铂业,沪市主板,17997441252.00,17999830815.00,基础数据已获取,0.00,False,0,0.00
600463,空港股份,沪市主板,3387000000.00,3387000000.00,基础数据已获取,0.00,False,0,75.24
600468,百利电气,沪市主板,8429948738.00,8429948738.00,基础数据已获取,0.00,False,0,0.00
600469,风神股份,沪市主板,5157217658.00,5157217658.00,基础数据已获取,0.00,False,0,0.00
600470,六国化工,沪市主板,3505152000.00,3505152000.00,基础数据已获取,0.00,False,0,0.00
600475,华光环能,沪市主板,20008035169.00,20285592769.00,基础数据已获取,0.00,False,0,0.00
600476,湘邮科技,沪市主板,2763961200.00,2763961200.00,基础数据已获取,0.00,False,0,0.00
600481,双良节能,沪市主板,14709130673.00,14709130673.00,基础数据已获取,0.00,False,0,0.00
