ETF代码,ETF名称,市场价格,IOPV,折溢价率,净值时间,计算时间,timestamp
588390,科创创业50ETF,1.008,1.0104,0.24,2025-09-25 10:59:13+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
588300,双创ETF,0.956,0.9575,0.16,2025-09-25 10:59:13+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
588310,双创ETF基金,1.011,1.0126,0.16,2025-09-25 10:59:12+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159101,港股通科技ETF基金,1.128,1.1259,-0.19,2025-09-25 10:59:33+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
562300,碳中和ETF基金,0.736,0.7375,0.2,2025-09-25 10:59:16+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159973,民企ETF,1.921,1.9239,0.15,2025-09-25 10:59:21+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159239,港股通汽车ETF富国,1.185,1.1865,0.13,2025-09-25 10:59:33+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
516380,智能电动车ETF,1.08,1.079,-0.09,2025-09-25 10:59:19+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159590,软件50ETF,1.255,1.2564,0.11,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
513360,教育ETF,0.572,0.5652,-1.2,2025-09-25 10:59:22+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
515580,科技100ETF,1.255,1.2548,-0.02,2025-09-25 10:59:18+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
520980,港股通科技30ETF,1.316,1.3113,-0.36,2025-09-25 10:59:17+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
513160,港股科技30ETF,1.435,1.4317,-0.23,2025-09-25 10:59:21+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
516580,新能源主题ETF,0.633,0.6338,0.13,2025-09-25 10:59:17+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159915,创业板ETF,3.216,3.2147,-0.04,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
588350,双创50ETF基金,1.439,1.4404,0.1,2025-09-25 10:59:12+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
561220,数字经济ETF工银,1.506,1.5024,-0.24,2025-09-25 10:59:15+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159780,双创ETF,0.93,0.9305,0.05,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
516290,光伏龙头ETF,0.58,0.5806,0.1,2025-09-25 10:59:17+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
588790,科创AIETF,0.873,0.874,0.11,2025-09-25 10:59:13+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159783,科创创业50ETF,0.932,0.9335,0.16,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
515790,光伏ETF,0.934,0.9348,0.09,2025-09-25 10:59:17+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159750,港股科技50ETF,1.227,1.2238,-0.26,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159205,创业板ETF东财,1.575,1.5728,-0.14,2025-09-25 10:59:33+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
562970,光伏ETF易方达,1.055,1.0577,0.26,2025-09-25 10:59:16+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159957,创业板ETF华夏,2.118,2.1196,0.08,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159793,线上消费ETF基金,1.175,1.1754,0.03,2025-09-25 10:59:21+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
