日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间
2025-07-21,0.628,0.642,0.628,0.637,5118,326249.0,2.24,1.76,0.011,2.82,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-22,0.639,0.653,0.639,0.652,5805,375099.0,2.2,2.35,0.015,3.2,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-23,0.656,0.656,0.646,0.646,2985,194005.0,1.53,-0.92,-0.006,1.64,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-24,0.642,0.66,0.642,0.66,3319,217235.0,2.79,2.17,0.014,1.83,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-25,0.66,0.663,0.655,0.658,2745,180470.0,1.21,-0.3,-0.002,1.51,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-28,0.649,0.661,0.649,0.661,3995,262654.0,1.82,0.46,0.003,2.2,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-29,0.663,0.663,0.65,0.662,3157,208238.0,1.97,0.15,0.001,1.74,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-30,0.662,0.667,0.656,0.658,5322,353149.0,1.66,-0.6,-0.004,2.93,516480,新材料ETF基金,2025-10-10 19:24:57
2025-07-31,0.645,0.658,0.637,0.642,7980,516791.0,3.19,-2.43,-0.016,4.4,516480,新材料ETF基金,2025-10-10 19:24:57
2025-08-01,0.642,0.644,0.636,0.638,2793,179083.0,1.25,-0.62,-0.004,1.54,516480,新材料ETF基金,2025-10-10 19:24:57
2025-08-04,0.63,0.638,0.63,0.637,1102,70018.0,1.25,-0.16,-0.001,0.61,516480,新材料ETF基金,2025-10-10 19:24:57
